LECROYHDO9204,30429,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2019 18:35:19,0                 
Time,Ampl
-2.50226e-08,-8.01462e-05
-2.49726e-08,-0.000244921
-2.49226e-08,2.24093e-06
-2.48726e-08,0.000474594
-2.48226e-08,0.000606413
-2.47726e-08,0.00013406
-2.47226e-08,-0.000590947
-2.46726e-08,-0.00109076
-2.46226e-08,-0.00125554
-2.45726e-08,-0.00114019
-2.45226e-08,-0.000667841
-2.44726e-08,6.81507e-05
-2.44226e-08,0.000644861
-2.43726e-08,0.00073274
-2.43226e-08,0.000397699
-2.42726e-08,-4.16989e-05
-2.42226e-08,-0.000261398
-2.41726e-08,-2.52215e-05
-2.41226e-08,0.000606413
-2.40726e-08,0.00111721
-2.40226e-08,0.00101286
-2.39726e-08,0.000474594
-2.39226e-08,0.000232925
-2.38726e-08,0.000639368
-2.38226e-08,0.00123805
-2.37726e-08,0.00131494
-2.37226e-08,0.000815128
-2.36726e-08,0.000364744
-2.36226e-08,0.000425162
-2.35726e-08,0.000710771
-2.35226e-08,0.00073274
-2.34726e-08,0.000573459
-2.34226e-08,0.000633876
-2.33726e-08,0.000875545
-2.33226e-08,0.000848082
-2.32726e-08,0.000458117
-2.32226e-08,0.00022194
-2.31726e-08,0.000595429
-2.31226e-08,0.001271
-2.30726e-08,0.00146873
-2.30226e-08,0.000831605
-2.29726e-08,-0.000140563
-2.29226e-08,-0.000750228
-2.28726e-08,-0.000810646
-2.28226e-08,-0.000530529
-2.27726e-08,-5.26838e-05
-2.27226e-08,0.000436147
-2.26726e-08,0.000611906
-2.26226e-08,0.000441639
-2.25726e-08,0.000474594
-2.25226e-08,0.00116115
-2.24726e-08,0.00208389
-2.24226e-08,0.00236401
-2.23726e-08,0.00174336
-2.23226e-08,0.000875545
-2.22726e-08,0.000529519
-2.22226e-08,0.000688801
-2.21726e-08,0.000716263
-2.21226e-08,0.000271372
